cycle_time_s,parent_mean,parent_std,daughter_mean,daughter_std
0.1,23928.8,177.2714302982858,140.5,10.892658077806354
2.2357142857142858,332328.9,488.8591719503686,43048.8,182.95398328541523
4.371428571428571,452376.0,490.6652626791507,111905.8,294.2620600757087
6.507142857142856,507767.8,880.695157247955,178169.8,439.80309230381727
8.642857142857142,538370.0,637.7925995180565,234970.3,342.77224216671925
10.778571428571428,556762.2,617.9570858886563,283624.2,551.895424876851
12.914285714285713,569474.1,525.373095999405,323371.2,673.3633194643141
15.05,578280.1,590.067191089286,356790.1,619.2501029471049
17.185714285714287,585321.2,676.3216394586233,384395.4,480.56158814453744
19.321428571428573,590703.3,694.1783704495554,407726.6,434.53496982406375
21.45714285714286,594581.1,352.4572172618969,428104.9,562.2188986506945
23.592857142857145,597827.6,525.1666783031841,444919.8,605.8537447272238
25.728571428571428,601153.1,489.97029501797346,459553.7,646.8786671393639
27.86428571428571,603590.2,577.2541554636051,472240.5,729.8486486936864
30.0,606246.1,1035.1437049994554,482614.7,886.5088888443252
