cycle_time_s,parent_mean,parent_std,daughter_mean,daughter_std
0.5,36057.061478358155,0.0,1035.657830457223,0.0
3.7777777777777777,338439.8821594204,0.0,73097.50454366367,0.0
7.055555555555555,453055.90190188214,0.0,169496.09881189867,0.0
10.333333333333332,504610.1697715565,0.0,249599.96748630784,0.0
13.61111111111111,533244.9777233014,0.0,311616.5158306038,0.0
16.88888888888889,551269.219821506,0.0,359176.5379871461,0.0
20.166666666666664,563882.1148618,0.0,396159.5056557333,0.0
23.444444444444443,573006.7949179584,0.0,425148.9444944868,0.0
26.72222222222222,579878.4543588511,0.0,448211.3154964024,0.0
30.0,585563.3646083075,0.0,467139.6986459157,0.0
