cycle_time_s,parent_mean,parent_std,daughter_mean,daughter_std
0.1,7224.9,57.78139839083163,40.8,4.915282290977803
2.2357142857142858,99637.6,268.5699908776109,12898.8,129.70181186089883
4.371428571428571,135862.6,361.8276385242012,33584.0,163.53042530367247
6.507142857142856,152483.2,381.4068169291157,53495.0,215.39545027692668
8.642857142857142,161909.1,354.8919413004471,70615.7,124.94882952633048
10.778571428571428,167077.5,290.1014477730161,85064.3,319.98064003936236
12.914285714285713,170919.2,318.4455369447027,96880.8,263.3616524857027
15.05,173516.9,322.7306771907499,107165.2,276.83092312817945
17.185714285714287,175493.1,446.03844004749186,115442.7,335.7088172806904
19.321428571428573,177213.0,367.3276466589467,122438.2,407.3781535625101
21.45714285714286,178584.0,457.49535516767816,128365.1,299.5344554471154
23.592857142857145,179383.0,276.8075143488702,133298.9,286.9740232146457
25.728571428571428,180172.1,369.4142525674936,137666.4,393.3446834520584
27.86428571428571,181144.6,330.17486276214305,141501.3,354.48583892731176
30.0,181633.9,281.898013472958,144765.5,466.4905679646696
