cycle_time_s,parent_mean,parent_std,daughter_mean,daughter_std
0.1,5939.0,67.13866248295389,97.1,11.202231920470137
2.2357142857142858,69999.2,306.52693193257915,22712.5,141.21915592439998
4.371428571428571,88114.0,371.5443445942893,47042.5,201.0145517120589
6.507142857142856,95398.7,175.57565320966344,63340.4,305.10758758182334
8.642857142857142,99174.3,265.83342528734045,73765.1,250.03057812995593
10.778571428571428,101356.6,253.27818698024512,80865.5,300.3948235239749
12.914285714285713,102710.2,339.0692554626562,85643.9,258.46332428412353
15.05,103925.9,302.55791181193723,89069.7,297.6242765635895
17.185714285714287,104860.4,303.8809635367112,91666.5,339.1310218779757
19.321428571428573,105372.5,274.0989784731056,93632.8,402.6419749603859
21.45714285714286,106051.8,321.55211086229866,95217.8,232.73925324276524
23.592857142857145,106530.2,393.69907289705424,96683.0,282.32640684144303
25.728571428571428,106793.2,240.1178044210799,98018.0,342.1990648730648
27.86428571428571,107088.2,351.23177532791647,98827.0,318.86705693752685
30.0,107148.9,485.5556507754801,99608.7,341.84734897319305
